player_id,name,position,team,age,height,bats,throws,experience,games,at_bats,plate_appearances,singles,doubles,triples,homeruns,runs_batted_in,sac_fly,sac_hits,strikeouts,walks,ground_dbl_play,hit_by_pitch,int_walks,pitches_seen_ab,wpa,war,contact,gap,power,eye,avoid_k,infield_range,infield_error,infield_arm,turn_dp,outfield_range,outfield_error,outfield_arm,catcher_ability,catcher_arm,P,C,1B,2B,3B,SS,LF,CF,RF,speed,steal,run,sacBunt,bunthit,int_neutral,int_high,we_neutral,we_high,greed_neutral,greed_high,loyalty_neutral,loyalty_high,leader_neutral,leader_high,avg,obp,slg,ops,iso,babip
200,Luis Bueno,3B,MIA,28,195,R,R,11,161,634,717,125,34,0,16,69,1,2,100,66,32,14,0,4.24,0.5247,4.2045,14,14,11,13,16,9,13,18,8,1,6,12,1,3,0,0,0,0,13,0,0,0,0,3,17,18,7,7,1,0,1,0,0,1,1,0,1,0,0.276,0.357,0.405,0.762,0.129,0.306
253,Juan Arroyo,2B,NYY,26,184,R,R,9,50,142,154,20,9,0,2,16,4,0,46,7,2,1,1,4.38,-0.5797,-0.6615,10,14,6,10,11,13,13,10,18,2,8,6,1,1,0,0,0,15,9,0,0,0,0,14,14,9,4,1,1,0,1,0,0,1,0,0,0,0,0.218,0.253,0.324,0.577,0.106,0.296
445,Gilberto Cervantes,CF,LVS,25,189,S,L,9,148,453,509,80,42,3,21,79,6,0,85,44,11,5,4,4.00,3.048,2.0216,16,16,14,10,17,1,2,8,1,9,13,12,1,1,0,0,0,0,0,0,6,1,0,8,5,3,8,2,1,0,0,0,1,0,1,0,1,0,0.322,0.384,0.567,0.951,0.245,0.354
549,Luis Benavides,1B,BOS,27,190,R,R,11,109,395,415,63,11,1,23,59,2,1,97,13,12,4,1,3.58,-0.7131,0.049,13,10,16,6,14,6,12,5,5,2,10,2,1,1,0,0,13,0,0,0,0,0,0,4,1,1,7,1,1,0,0,0,0,1,0,0,0,0,0.248,0.278,0.456,0.733,0.208,0.271
778,Sergio Rivera,RF,DET,26,191,L,L,11,158,614,694,82,40,4,46,122,2,0,123,62,20,16,2,4.48,3.0847,4.7241,16,16,16,13,15,1,5,14,2,8,16,18,1,1,0,0,2,0,0,0,0,0,10,7,17,20,2,1,1,0,1,0,0,1,1,0,1,0,0.280,0.360,0.583,0.943,0.303,0.282
789,Luis Villalobos,3B,PIT,25,187,L,R,9,123,418,454,61,29,1,20,71,5,1,94,23,12,7,1,3.95,1.9766,1.9419,14,16,12,9,14,8,10,16,6,4,8,13,1,2,0,0,14,0,9,0,0,0,0,1,1,1,6,1,1,0,1,0,1,0,1,0,1,0,0.266,0.311,0.483,0.795,0.218,0.294
800,Zachariah Doubleday,SS,MTL,26,191,R,R,11,80,167,184,20,8,2,2,11,1,1,55,7,6,8,0,3.77,-0.9875,-0.11589999999999999,9,12,6,5,9,13,20,20,20,1,11,16,1,1,0,0,0,0,20,15,0,0,0,17,20,20,16,3,1,0,0,1,0,0,1,0,0,1,0.192,0.257,0.299,0.556,0.108,0.270
816,Juan Ramirez,CF,MIN,22,187,R,R,6,156,586,655,98,35,4,20,86,6,0,104,54,8,9,4,4.16,1.2681,2.9637,13,15,13,12,16,2,3,15,2,16,14,17,1,1,0,0,1,0,0,0,17,13,7,19,19,18,4,9,1,0,1,0,0,1,1,0,1,0,0.268,0.336,0.444,0.780,0.176,0.293
844,Arturo Pacheco,SS,CHC,28,186,R,R,12,142,440,492,62,30,6,4,48,4,4,141,42,12,2,10,4.24,-2.5482,0.8224,10,17,5,11,10,17,15,20,14,1,15,19,1,1,0,0,0,0,20,16,0,0,0,20,20,19,15,1,1,0,1,0,1,0,1,0,1,0,0.232,0.299,0.355,0.654,0.123,0.328
910,Gilberto Ortis,C,LAA,27,184,R,R,11,52,157,162,22,8,0,2,7,0,1,35,4,3,0,0,3.46,-1.7191,-0.4618,9,11,6,7,13,1,4,5,2,1,3,4,18,12,0,17,0,0,0,0,0,0,0,15,1,5,10,5,1,0,0,1,0,1,1,0,0,0,0.204,0.224,0.293,0.517,0.089,0.250
921,Griff Addinall,1B,HOU,26,188,S,L,11,119,420,464,44,19,0,33,90,4,1,137,35,6,4,1,4.29,0.4686,1.2133,12,17,15,12,10,7,7,6,3,1,2,5,1,1,0,0,11,0,0,0,0,0,0,1,5,3,4,1,1,0,0,0,0,1,0,0,0,0,0.229,0.292,0.510,0.801,0.281,0.248
962,Juan Maldonado,1B,LAD,26,185,L,R,11,28,33,38,3,1,0,1,5,1,1,10,2,0,1,1,4.61,-0.3073,-0.2656,12,15,15,10,14,8,7,5,3,1,3,3,1,1,0,0,12,0,0,0,0,0,0,7,14,14,15,1,1,0,1,0,1,0,0,0,1,0,0.152,0.216,0.273,0.489,0.121,0.174
964,Aydan Jesso,CF,VAN,27,185,R,R,11,146,491,540,76,29,4,13,55,0,2,167,43,9,4,4,4.15,-1.0449,2.2533,11,13,10,10,10,11,8,12,9,19,18,19,1,1,0,0,0,0,0,0,20,19,20,16,18,10,5,7,1,0,1,0,0,0,1,0,1,0,0.248,0.314,0.403,0.717,0.155,0.350
1021,Esteban Aleman,RF,WAS,25,196,L,L,9,131,445,496,68,20,4,26,74,1,1,132,46,12,3,0,4.30,1.5945,2.2882000000000002,12,14,13,12,11,3,4,9,1,12,15,19,1,1,0,0,0,0,0,0,3,0,16,11,11,1,3,2,0,1,0,1,1,0,1,0,1,0,0.265,0.337,0.503,0.841,0.238,0.319
1056,Jayden Anscombe,3B,BOS,26,189,R,R,11,153,606,647,99,45,2,19,65,2,0,131,34,14,5,0,3.67,-0.7986,2.2891,12,15,11,7,14,15,16,18,16,3,9,13,1,1,0,0,0,16,18,8,0,0,0,5,4,1,6,1,0,0,0,0,0,0,0,0,1,0,0.272,0.315,0.447,0.762,0.175,0.319
1146,Luis Castillo,C,CHC,25,189,R,R,9,38,122,141,20,5,0,6,23,3,0,30,14,9,2,3,4.26,-0.7238,0.8064,10,11,11,9,13,1,5,7,2,1,8,6,17,10,0,15,0,0,0,0,0,0,0,1,5,8,7,1,1,0,0,1,0,0,1,0,0,0,0.254,0.333,0.443,0.776,0.189,0.281
1173,Sang-kuk Mihn,1B,TOR,27,187,R,R,11,156,568,700,88,32,0,37,96,4,1,138,118,10,9,2,5.37,4.333,4.5359,14,11,15,16,15,1,10,7,4,1,4,2,1,1,0,0,7,0,0,0,0,0,0,3,3,8,5,2,1,0,1,0,1,0,1,0,0,1,0.276,0.406,0.528,0.934,0.252,0.302
1283,Luis Ibarra,SS,VAN,27,183,S,R,9,114,368,418,52,18,0,20,59,3,0,92,45,6,2,0,4.38,0.8445,2.4651,10,13,11,11,12,12,16,17,15,5,5,15,1,1,0,0,0,15,0,11,0,0,0,14,11,7,6,1,1,0,1,0,0,1,1,0,1,0,0.245,0.328,0.457,0.784,0.212,0.270
1299,Chiel de Roos,CF,OAK,28,184,L,L,11,80,203,237,22,4,1,14,35,2,0,78,30,0,2,0,4.88,-0.2637,0.5342,9,13,11,12,8,9,13,8,1,17,17,16,1,2,0,0,0,0,0,0,4,16,0,18,13,5,3,4,1,0,1,0,0,0,1,0,0,1,0.202,0.308,0.438,0.746,0.236,0.239
1425,Juan Figueroa,CF,WAS,24,188,L,R,9,158,631,674,120,46,8,21,102,8,0,83,25,13,10,0,3.46,2.8346,4.3237,14,15,12,5,18,5,4,9,6,17,18,17,1,1,0,0,0,0,0,0,19,16,20,18,5,17,7,5,1,0,1,0,1,0,0,0,0,0,0.309,0.341,0.507,0.848,0.198,0.325
1592,Harland Sweetapple,2B,PHI,24,190,S,R,7,127,416,451,57,28,0,39,90,0,2,115,31,7,2,2,4.14,2.4376,4.2604,14,16,16,11,12,11,15,10,14,10,13,7,1,1,0,0,0,13,0,4,0,0,1,9,18,13,6,1,1,0,0,1,1,0,1,0,0,0,0.298,0.350,0.647,0.996,0.349,0.324
